WEDNESDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
B-10 Academic Block II (53),"ME BSBA-4A
Michael Simon ","BF BSBA-4A
 Jahangir Tanveer","ESSB BSFT-4C
Dr. Nazia Nazeer ","IDB BSFT-4A
Muhammad Khalid ","DAB-II BSFT-4B
Dr. Anwar Mughees","FBA BSBA-4A
 Jahangir Tanveer",,"IDB BSFT-4B
Magdalene Gloria","FOM BSFT-2A
Aleena "
B-11 Academic Block II (53),"CSP BSBA-8A
Dr. Mushtaq Ahmed","CSP BSBA-8A
Dr. Mushtaq Ahmed","BMII BSBA-4A
Aneesa Nawaz","DTBA BSBA-8A
Dr. Sarfaraz Bhutto","DTBA BSBA-8A
Dr. Sarfaraz Bhutto","Eng-II BSFT-2A
Huma Hafeez "," PA BSBA-8A
Dr. Mushtaq Ahmed ","BS BSBA-8A
Michael Simon ","BS BSBA-8A
Michael Simon "
C-12 Academic Block II (50),DE BSEE-2B                                                    Engr. Aamir Ali,LCA BSEE-2B Engr. Muhammad Ahsan Khan,LCA BSEE-2A Engr. Muhammad Ahsan Khan,NSB BSEE-8A                                           Engr. Zakir Hussain,LCA BSCE-2A Engr. Muhammad Ahsan Khan,LCA BSCE-2B + BSEE-2C Engr. Muhammad Ahsan Khan,OS BSEE-6AB                                           Engr. Asim Mehmood,OOP BSEE-6AB                                           Engr. Asim Mehmood,OOP BSEE-6AB                                           Engr. Asim Mehmood
C-13 Academic Block II (50),DE BSEE-2A                                                    Dr. Ahsan Nadeem,EBD BSEE-6AB                                                                 Engr. Haris Mohsin,EBD BSEE-6AB                                                                 Engr. Haris Mohsin,LA BSEE-2B                                                          Engr. Maham Ghouri,LA BSEE-2B                                                          Engr. Maham Ghouri,"Eng-II BSBA-2A
 Javeriya Ahmed Hussain",,"FOM BSFT-2B
 Asiya Zaheer ","MM  BSBA-2A
Asiya Zaheer "
C-14 Academic Block II (50),DE BSEE-2C + BSCE-2B                                                    Engr. Quratul Ain,EPS BSEE-8A                                           Engr. Asim Mehmood,EPS BSEE-8A                                           Engr. Asim Mehmood,LA BSEE-2A                                                                          Engr. Muhammad Amjad,LA BSEE-2A                                                                          Engr. Muhammad Amjad,DE BSCE-2A                                                    Engr. Quratul Ain,,,"BMII BSBA-4A
Aneesa Nawaz"
C-15 Academic Block II (50),EMS BSEE-4A                                          Engr. Aqib Noor,EMS BSEE-4A                                          Engr. Aqib Noor,,TCS BSEE-4B                                          Ms. Wajiha Akber Durrani,TCS BSEE-4B                                          Ms. Wajiha Akber Durrani,,,,
C-16 Academic Block II (50),CS BSEE-6AB                                           Ms. Tahira Abdul Hakeem,"CS4068-NPS BCS-6B
Shoaib Raza","CS4051-IR BCS-6A
Dr. Muhammad Rafi",,,"AI2002-AI BCS-6C
Javeria Farooq",,,
C-17 Academic Block II (59),,"SE3003-WE BSE-6B
Ali Fatmi","CS2008-NC BCS-6A
Jamil Usmani",,"AI2002-AI BCS-6D
Fahad Sherwani",,"CS2012-TBW BCS-6D
Mariam Aftab","CS3009-SE BCS-6D
Shaheer Ahmed",
C-18 Academic Block II (50),"CS3014-AHCI BCS-6E
Ghulam Murtaza","CY4046-EHTT  BCY-6B
Abuzar Zafar","CS4032-WP BCS-6A
Ali Fatmi","CS3006-PDC BAI-6A
Farooq Zaidi","CS2012-TBW BCS-6E
Nazia Imam","CS3009-SE BCS-6E
Shaheer Ahmed",,,
C-19 Academic Block II (50),"CS3014-AHCI BCS-6F
Kashan Hussain",,,"CS4044-FSPM BCS-6B (F,G,H,J)
Ubaid Aftab","CS4044-FSPM BCS-6B (F,G,H,J)
Ubaid Aftab","CS2012-TBW BCS-6F
Mariam Aftab",,"AI2002-AI BCS-6F
Usama Antuley",
