MONDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
D-22 Academic Block II (50),"CS2012-TBW BCS-6E
Nazia Imam","CS2009-DAA BCY-4A
Sandesh Kumar","CS2009-DAA BCY-4A
Sandesh Kumar","CS2005-DBS BCS-4K
Ghulam Qadir","SS1015-PST BCY-4A
Fatheia Khan (VF)","SS1015-PST BCY-4A
Fatheia Khan (VF)",,"SS2012-TBW BCY-4A
Javeria Ali Wadho","SS2034 - Arabic Lang. BDS-4A
Abdullah Siddiqui"
D-23 Academic Block II (50),"CS2006-OS BCS-4H
Zulfiqar Rafique",,"AI2002-AI BCS-4F
Dr. Farrukh salim",,"MT2005-Prob BAI-4A
Alishba Tariq","AI2002-AI BCS-4K
Farooq Zaidi",,"MT2005-Prob BCS-4J
Dr. Khusro Mian","CS2006-OS BCS-4J
Ubaidullah"
D-24 Academic Block II (50),"CS2005-DBS BCS-4F
Shoaib Rauf","CS1004-OOP BCS-2B
Ghulam Qadir ","MT2005-Prob BDS-4A
Muhammad Amjad","MT2005-Prob BDS-4A
Muhammad Amjad","CS2005-DBS BDS-4B
Sameer Faisal","MT2005-Prob BDS-4B
Muhammad Amjad",,,"CS2006-OS BSE-4A
Syed Faisal Ali"
D-25 Academic Block II (50),"EE1005-DLD BCS-2E
Sana Naz","SS1014-EW BCS-2D
Sharmeen Ismail",,,"CS3004-SDA BCS-4F
Syed Ahmed Khan","MT2005-Prob BCS-4G
Alishba Tariq","CS2006-OS BCS-4G
Syed Faisal Ali","SS2034 - Arabic Lang. BDS-4A
Abdullah Siddiqui",
D-26 Academic Block II (50),"CS1004-OOP BCS-2F
Sumaiya Zahid","EE1005-DLD BCS-2F
Muhammad Rahim",,,"CS2005-DBS BCS-4D
Talha Shahid","SS2043-CCE BCS-2A
Dr. Wajiha Raheeq","SS2043-CCE BCS-2A
Dr. Wajiha Raheeq",,
D-27 Academic Block II (50),"SS1014-EW BCS-2H
Wajiha Akber Durrani","CS1004-OOP BCS-2H
Ubaidullah","EE1005-DLD BCS-2B
Dr. Nouman Durrani","SS1019-UOS BCS-2A
Dr. Shahzad Shaikh","SS1019-UOS BCS-2B
Dr. Shahzad Shaikh",,"SS2043-CCE BCS-2G
Faiza Iqbal","SS2043-CCE BCS-2G
Faiza Iqbal",
D-28 Academic Block II (50),"CS1004-OOP BCS-2J
Sobia Iftikhar","CS1004-OOP BCS-2K
Sumaiya Zahid","CS1004-OOP BCS-2E
Aashir Mahboob","MT1008-MVC BCS-2H
Urooj",,,,"EE1005-DLD BCS-2C
Sana Naz",
E-29Academic Block II (52),"SS1015-PST BSE-2A
Wajiha Najam (VF)","CS1004-OOP BSE-2A
Basit Jasani","EE1005-DLD BCS-2J
Javed Qureshi","SS1014-EW BCS-2J
Wajiha Akber Durrani","MT1008-MVC BCS-2J
Urooj",,,"EE1005-DLD BCS-2D
Muhammad Rahim","SS1019-UOS BCS-2D
Dr. Hassan Saeed"
E-30 Academic Block II (52),"MT1008-MVC BCS-2B
Dr. Shahid Ashraf","SS1015-PST BSE-2B
Wajiha Najam (VF)","SS1014-EW BCS-2K
Wajiha Akber Durrani",,"EE1005-DLD BCS-2K
Muhammad Rahim","CS1004-OOP BCS-2G
Ghulam Qadir",,"MT1008-MVC BCS-2E
Asma Masood",
E-31 Academic Block II (52),"EE1005-DLD BCY-2A
Abuzar Zafar","SS1019-UOS BCY-2A
Immad uddin","MT1008-MVC BCY-2B
Dr. Shahid Ashraf","SS1015-PST BAI-2A
Jahan Ara (VF)","EE1005-DLD BDS-2A
Dr. Nouman Durrani",,,"SS2043-CCE BCS-2F
Kauser Malik","SS2043-CCE BCS-2F
Kauser Malik"
E-32 Academic Block II (52),,"CS1004-OOP BCY-2B
Abeer Gauher","CS1004-OOP BSE-2B
Abeeha Sattar",,"MT1008-MVC BCS-2G
Asma Masood","CS1004-OOP BCS-2C
Ubaidullah","SS1019-UOS BCS-2C
Dr. Hassan Saeed",,
E-33 Academic Block II (52),"MT1008-MVC BAI-2B
Urooj","EE1005-DLD BAI-2B
Miqdad Khan",,"CS1004-OOP BCY-2A
Abeer Gauher","MT1008-MVC BCY-2A
Aneesa Nawaz",,,"SS1014-EW BCY-2B
Reema Brohi",
E-34 Academic Block II (52),"SS1014-EW BAI-2C
Qurat ul Ain","CS1004-OOP BAI-2C
Talha Shahid","SS1015-PST BAI-2B
Jahan Ara (VF)","CS1004-OOP BAI-2B
Saif ur Rehman","SS1015-PST BAI-2B
Jahan Ara (VF)","MT1008-MVC BAI-2A
Moheez Ur Rahim",,,
